chapter,paragraph,sentence,text,tokens,token_count,tokens_str
CHAPTER VII,46,4,"Elizabeth did not quit her room for a moment, nor were the other ladies often absent; the gentlemen being out, they had in fact nothing to do elsewhere.","['elizabeth', 'quit', 'room', 'moment', 'lady', 'often', 'absent', 'gentleman', 'fact', 'nothing', 'elsewhere']",11,elizabeth quit room moment lady often absent gentleman fact nothing elsewhere
CHAPTER VII,47,1,"When the clock struck three, Elizabeth felt that she must go, and very unwillingly said so.","['clock', 'struck', 'three', 'elizabeth', 'felt', 'must', 'go', 'unwillingly', 'said']",9,clock struck three elizabeth felt must go unwillingly said
CHAPTER VII,47,2,"Miss Bingley offered her the carriage, and she only wanted a little pressing to accept it, when Jane testified such concern at parting with her that Miss Bingley was obliged to convert the offer of the chaise into an invitation to remain at Netherfield for the present.","['miss', 'bingley', 'offered', 'carriage', 'wanted', 'little', 'pressing', 'accept', 'jane', 'testified', 'concern', 'parting', 'miss', 'bingley', 'obliged', 'convert', 'offer', 'chaise', 'invitation', 'remain', 'netherfield', 'present']",22,miss bingley offered carriage wanted little pressing accept jane testified concern parting miss bingley obliged convert offer chaise invitation remain netherfield present
CHAPTER VII,47,3,"Elizabeth most thankfully consented, and a servant was despatched to Longbourn, to acquaint the family with her stay, and bring back a supply of clothes.","['elizabeth', 'thankfully', 'consented', 'servant', 'despatched', 'longbourn', 'acquaint', 'family', 'stay', 'bring', 'back', 'supply', 'clothes']",13,elizabeth thankfully consented servant despatched longbourn acquaint family stay bring back supply clothes
CHAPTER VIII,1,1,"At five o’clock the two ladies retired to dress, and at half-past six Elizabeth was summoned to dinner.","['five', 'clock', 'two', 'lady', 'retired', 'dress', 'six', 'elizabeth', 'summoned', 'dinner']",10,five clock two lady retired dress six elizabeth summoned dinner
CHAPTER VIII,1,2,"To the civil inquiries which then poured in, and amongst which she had the pleasure of distinguishing the much superior solicitude of Mr. Bingley, she could not make a very favourable answer.","['civil', 'inquiry', 'poured', 'amongst', 'pleasure', 'distinguishing', 'much', 'superior', 'solicitude', 'bingley', 'could', 'make', 'favourable', 'answer']",14,civil inquiry poured amongst pleasure distinguishing much superior solicitude bingley could make favourable answer
CHAPTER VIII,1,3,Jane was by no means better.,"['jane', 'mean', 'better']",3,jane mean better
CHAPTER VIII,1,4,"The sisters, on hearing this, repeated three or four times how much they were grieved, how shocking it was to have a bad cold, and how excessively they disliked being ill themselves; and then thought no more of the matter: and their indifference towards Jane, when not immediately before them, restored Elizabeth to the enjoyment of all her original dislike.","['sister', 'hearing', 'repeated', 'three', 'four', 'time', 'much', 'grieved', 'shocking', 'bad', 'cold', 'excessively', 'disliked', 'ill', 'thought', 'matter', 'indifference', 'towards', 'jane', 'immediately', 'restored', 'elizabeth', 'enjoyment', 'original', 'dislike']",25,sister hearing repeated three four time much grieved shocking bad cold excessively disliked ill thought matter indifference towards jane immediately restored elizabeth enjoyment original dislike
CHAPTER VIII,2,1,"Their brother, indeed, was the only one of the party whom she could regard with any complacency.","['brother', 'indeed', 'one', 'party', 'could', 'regard', 'complacency']",7,brother indeed one party could regard complacency
CHAPTER VIII,2,2,"His anxiety for Jane was evident, and his attentions to herself most pleasing; and they prevented her feeling herself so much an intruder as she believed she was considered by the others.","['anxiety', 'jane', 'evident', 'attention', 'pleasing', 'prevented', 'feeling', 'much', 'intruder', 'believed', 'considered', 'others']",12,anxiety jane evident attention pleasing prevented feeling much intruder believed considered others
CHAPTER VIII,2,3,She had very little notice from any but him.,"['little', 'notice']",2,little notice
CHAPTER VIII,2,4,"Miss Bingley was engrossed by Mr. Darcy, her sister scarcely less so; and as for Mr. Hurst, by whom Elizabeth sat, he was an indolent man, who lived only to eat, drink, and play at cards, who, when he found her prefer a plain dish to a ragout, had nothing to say to her.","['miss', 'bingley', 'engrossed', 'darcy', 'sister', 'scarcely', 'less', 'hurst', 'elizabeth', 'sat', 'indolent', 'man', 'lived', 'eat', 'drink', 'play', 'card', 'found', 'prefer', 'plain', 'dish', 'ragout', 'nothing', 'say']",24,miss bingley engrossed darcy sister scarcely less hurst elizabeth sat indolent man lived eat drink play card found prefer plain dish ragout nothing say
CHAPTER VIII,3,1,"When dinner was over, she returned directly to Jane, and Miss Bingley began abusing her as soon as she was out of the room.","['dinner', 'returned', 'directly', 'jane', 'miss', 'bingley', 'began', 'abusing', 'soon', 'room']",10,dinner returned directly jane miss bingley began abusing soon room
CHAPTER VIII,3,2,"Her manners were pronounced to be very bad indeed,--a mixture of pride and impertinence: she had no conversation, no style, no taste, no beauty.","['manner', 'pronounced', 'bad', 'indeed', 'mixture', 'pride', 'impertinence', 'conversation', 'style', 'taste', 'beauty']",11,manner pronounced bad indeed mixture pride impertinence conversation style taste beauty
CHAPTER VIII,3,3,"Mrs. Hurst thought the same, and added,--","['hurst', 'thought', 'added']",3,hurst thought added
CHAPTER VIII,4,1,"“She has nothing, in short, to recommend her, but being an excellent walker.","['nothing', 'short', 'recommend', 'excellent', 'walker']",5,nothing short recommend excellent walker
CHAPTER VIII,4,2,I shall never forget her appearance this morning.,"['shall', 'never', 'forget', 'appearance', 'morning']",5,shall never forget appearance morning
CHAPTER VIII,4,3,She really looked almost wild.”,"['really', 'looked', 'almost', 'wild']",4,really looked almost wild
CHAPTER VIII,5,1,"“She did indeed, Louisa.","['indeed', 'louisa']",2,indeed louisa
CHAPTER VIII,5,2,I could hardly keep my countenance.,"['could', 'hardly', 'keep', 'countenance']",4,could hardly keep countenance
CHAPTER VIII,5,3,Very nonsensical to come at all!,"['nonsensical', 'come']",2,nonsensical come
